seq_position,cpg_name,genomic_rank
299,cg23625458,753
300,cg11376198,754
301,cg07447773,755
302,cg11233384,756
303,cg15311933,758
304,cg13319175,767
305,cg00995065,773
306,cg19136075,774
307,cg21057046,775
308,cg22614355,776
309,cg19976467,781
310,cg21615127,782
311,cg16825000,784
312,cg24613957,786
313,cg11037787,787
314,cg19521927,788
315,cg24335149,791
316,cg14321743,792
317,cg07142319,793
318,cg16087263,794
319,cg11933267,795
320,cg03167763,797
321,cg04637372,800
322,cg01041367,802
323,cg12497298,803
324,cg26557658,805
325,cg20404387,806
326,cg13164309,808
327,cg00750606,809
328,cg23993660,812
329,cg01058368,814
330,cg08911391,814
331,cg01062029,815
332,cg18486150,817
333,cg01069256,820
334,cg13149996,820
335,cg06819200,823
336,cg01078276,824
337,cg22054164,825
338,cg01086895,827
339,cg23352747,831
340,cg20645065,832
341,cg22396755,835
342,cg07138512,836
343,cg20956373,838
344,cg18325289,839
345,cg02729506,842
346,cg16268051,843
347,cg07180649,847
348,cg26870337,848
349,cg15041659,849
350,cg11847808,850
351,cg00108454,851
352,cg25995460,852
353,cg11393848,853
354,cg00136477,854
355,cg22477971,855
356,cg14271400,857
357,cg00650762,858
358,cg01718365,859
359,cg06958034,860
360,cg08872493,864
361,cg01130192,865
362,cg06449653,866
363,cg10347418,868
364,cg18273566,869
365,cg00269115,870
366,cg01139059,875
367,cg17051623,876
368,cg23574449,878
369,cg21211748,879
370,cg22258437,882
371,cg01148741,883
372,cg19532954,883
373,cg22968727,887
374,cg12090388,888
375,cg22198425,891
376,cg22983885,892
377,cg04667458,893
378,cg01161597,894
379,cg03371205,895
380,cg01169624,897
381,cg24409107,900
382,cg08673615,902
383,cg18888403,903
384,cg01172972,904
385,cg08366126,905
386,cg01173186,905
387,cg26151675,910
388,cg09152089,913
389,cg25946374,914
390,cg08700651,915
391,cg07509155,916
392,cg15050111,919
393,cg16155382,920
394,cg13980834,924
395,cg03140978,925
396,cg01197831,925
397,cg02976090,926
398,cg02641560,928
399,cg02850329,929
400,cg01204271,929
401,cg11329235,937
402,cg10698549,938
403,cg10894102,941
404,cg02723372,943
405,cg25178645,944
406,cg14645650,945
407,cg18231267,947
408,cg01240931,948
409,cg04757093,948
410,cg01248426,954
411,cg00117172,957
412,cg06377278,958
413,cg22737001,959
414,cg24019564,963
415,cg01264826,966
416,cg01265637,967
417,cg03171924,970
418,cg13461622,974
419,cg01278696,978
420,cg16529592,981
421,cg01289103,987
422,cg21257635,988
423,cg12592463,989
424,cg01297972,995
425,cg05670408,995
426,cg01299496,996
427,cg01301664,997
428,cg15156836,1005
429,cg01311051,1006
430,cg02327719,1007
431,cg16486059,1008
432,cg15662251,1009
433,cg23799313,1010
434,cg06453691,1012
435,cg04471507,1013
436,cg23323671,1014
437,cg01320040,1014
438,cg04722168,1018
439,cg15547662,1019
440,cg18212039,1020
441,cg04629204,1022
442,cg05674944,1024
443,cg07766612,1025
444,cg01337047,1027
445,cg16051685,1027
446,cg22436229,1029
447,cg25817752,1030
448,cg18107827,1033
449,cg25229964,1035
450,cg04025590,1040
451,cg14017991,1041
452,cg01414934,1043
453,cg03100146,1044
454,cg16068833,1046
455,cg08109646,1048
456,cg10705251,1050
457,cg16530429,1052
458,cg06577005,1053
459,cg14211646,1054
460,cg01371477,1055
461,cg20345978,1056
462,cg01372689,1057
463,cg17154022,1057
464,cg01373706,1058
465,cg01031251,1059
466,cg19259146,1061
467,cg01400401,1067
468,cg17385674,1068
469,cg11856093,1069
470,cg12806381,1073
471,cg10971346,1074
472,cg14333454,1078
473,cg03421300,1081
474,cg17572572,1082
475,cg01413314,1083
476,cg23489497,1083
477,cg21680178,1084
478,cg01413516,1084
479,cg08360728,1085
480,cg24580782,1088
481,cg06650260,1089
482,cg01422136,1092
483,cg21921474,1092
484,cg19125999,1093
485,cg16352283,1095
486,cg22395192,1096
487,cg01429391,1102
488,cg21824902,1103
489,cg01429996,1103
490,cg06839953,1106
491,cg01431114,1106
492,cg23652939,1107
493,cg01442481,1112
494,cg23299127,1116
495,cg20651453,1117
496,cg19979773,1120
497,cg01447498,1121
498,cg05436231,1122
499,cg15166089,1124
500,cg12112929,1126
501,cg19784449,1130
502,cg14887509,1131
503,cg01476044,1140
504,cg01484156,1147
505,cg11254522,1147
506,cg06827976,1148
507,cg01485797,1149
508,cg01485998,1150
509,cg12099357,1156
510,cg17386433,1157
511,cg26106720,1158
512,cg09009042,1161
513,cg05492605,1162
514,cg08623383,1164
515,cg27573888,1165
516,cg11542231,1166
517,cg05871607,1167
518,cg22421699,1169
519,cg00605270,1170
520,cg00563229,1171
521,cg13804316,1172
522,cg22760576,1174
523,cg18468844,1177
524,cg16834431,1179
525,cg19025723,1180
526,cg25973092,1181
527,cg01522975,1181
528,cg01172735,1182
529,cg25371560,1184
530,cg25716286,1185
531,cg01532771,1185
532,cg08123074,1186
533,cg16013246,1189
534,cg24469114,1190
535,cg10691259,1195
536,cg02525756,1201
537,cg23543604,1202
538,cg16817034,1203
539,cg09837361,1204
540,cg19869139,1207
541,cg09970593,1208
542,cg11226328,1209
543,cg14195915,1213
544,cg05032943,1214
545,cg05064673,1216
546,cg01585703,1221
547,cg18084114,1221
548,cg12732155,1224
549,cg01594214,1228
550,cg24710886,1230
551,cg12864581,1232
552,cg19763281,1233
553,cg08778586,1234
554,cg14407437,1235
555,cg03484533,1236
556,cg22855405,1243
557,cg02309594,1245
558,cg19420968,1246
559,cg02989257,1247
560,cg10773309,1254
561,cg01653445,1255
562,cg15789095,1257
563,cg17803965,1258
564,cg01638735,1262
565,cg00510956,1266
566,cg21713812,1267
567,cg21682382,1268
568,cg02078356,1269
569,cg10694959,1271
570,cg16343696,1272
571,cg21093060,1273
572,cg10266188,1275
573,cg02286990,1276
574,cg13704271,1277
575,cg01154193,1278
576,cg01656216,1278
577,cg26073060,1280
578,cg14992253,1281
579,cg07656362,1282
580,cg01657207,1283
581,cg01525376,1288
582,cg17078393,1290
583,cg24468890,1294
584,cg23698287,1295
585,cg09327628,1298
586,cg16379513,1300
587,cg21172540,1301
588,cg13666729,1303
589,cg01684579,1305
590,cg11619390,1305
591,cg26131911,1307
592,cg05342835,1308
593,cg17339202,1309
594,cg09755102,1312
595,cg23150609,1313
596,cg25870263,1315
597,cg20951444,1316
598,cg01703884,1316
599,cg24417499,1317
600,cg01708236,1320
601,cg06179485,1320
602,cg18830459,1321
603,cg01620569,1324
604,cg22189725,1326
605,cg15016234,1328
606,cg01720228,1328
607,cg11426590,1329
608,cg03382564,1330
609,cg01722994,1330
610,cg23886755,1338
611,cg21198021,1339
612,cg19228118,1342
613,cg05382123,1343
614,cg11524446,1344
615,cg01743370,1346
616,cg08527127,1348
617,cg08612871,1349
618,cg01745657,1349
619,cg01333788,1350
620,cg15750705,1351
621,cg15554401,1352
622,cg13263483,1353
623,cg07070934,1355
624,cg15006973,1356
625,cg20913782,1358
626,cg15315630,1361
627,cg11730961,1362
628,cg01769037,1363
629,cg21248774,1363
630,cg17801256,1365
631,cg12106731,1371
632,cg19524049,1372
633,cg14772955,1373
634,cg15272684,1374
635,cg11835197,1377
636,cg26372517,1379
637,cg01785339,1380
638,cg17948627,1381
639,cg24109894,1382
640,cg01794265,1384
641,cg17417054,1385
642,cg06100291,1386
643,cg16019273,1387
644,cg18580491,1388
645,cg27094188,1389
646,cg27026509,1390
647,cg24196046,1392
648,cg24547948,1394
649,cg18931815,1395
650,cg01802635,1396
651,cg01803059,1397
652,cg16705481,1398
653,cg11916186,1399
654,cg04936062,1400
655,cg01805540,1401
656,cg01808508,1405
657,cg01813965,1408
658,cg07789552,1411
659,cg01817393,1411
660,cg01818492,1412
661,cg27546682,1412
662,cg01819572,1413
663,cg01773061,1415
664,cg12880200,1416
665,cg10035922,1418
666,cg22397854,1419
667,cg05154390,1420
668,cg08198370,1421
669,cg06722633,1426
670,cg06165395,1430
671,cg15949277,1435
672,cg01856970,1435
673,cg18891404,1436
674,cg01868128,1441
675,cg03112782,1447
676,cg00728398,1448
677,cg26624273,1449
678,cg01880569,1451
679,cg12696750,1452
680,cg21488617,1453
681,cg06528936,1456
682,cg17004373,1457
683,cg06626655,1458
684,cg22063989,1459
685,cg01888566,1459
686,cg01888601,1460
687,cg26649834,1461
688,cg01889448,1461
689,cg12339802,1462
690,cg16341373,1463
691,cg12128017,1467
692,cg01900048,1468
693,cg18105315,1469
694,cg01900364,1469
695,cg08735298,1473
696,cg17829314,1474
697,cg07031996,1477
698,cg10784030,1479
699,cg02309273,1480
700,cg25682936,1481
701,cg27018070,1484
702,cg05045781,1485
703,cg21319745,1486
704,cg17791651,1488
705,cg23495059,1495
706,cg17593391,1496
707,cg12792157,1497
708,cg01939428,1497
709,cg19675684,1499
710,cg14676817,1500
711,cg07388493,1502
712,cg16918585,1503
713,cg22233974,1505
714,cg13514129,1506
715,cg01959004,1516
716,cg08866753,1517
717,cg06154570,1520
718,cg21280510,1521
719,cg01656955,1522
720,cg11462533,1524
721,cg22827640,1525
722,cg01971122,1526
723,cg24358529,1527
724,cg27650434,1531
725,cg16796590,1536
726,cg26908611,1537
727,cg09182986,1538
728,cg27072323,1539
729,cg01991150,1539
730,cg17130791,1541
731,cg20900524,1542
732,cg01918888,1545
733,cg01994779,1546
734,cg13502356,1547
735,cg01995513,1547
736,cg19657082,1548
737,cg24686358,1551
738,cg26710722,1552
739,cg25632203,1557
740,cg26776069,1560
741,cg25568243,1561
742,cg10521267,1562
743,cg02008544,1562
744,cg06211871,1563
745,cg00594952,1569
746,cg08394377,1570
747,cg13730534,1572
748,cg02022375,1572
749,cg06885782,1573
750,cg00630164,1574
751,cg22748573,1577
752,cg10705800,1578
753,cg15043057,1579
754,cg02668729,1580
755,cg05646865,1582
756,cg22005565,1583
757,cg14550007,1584
758,cg03387723,1585
759,cg27238470,1589
760,cg16685388,1600
761,cg23762517,1601
762,cg02066681,1606
763,cg02077702,1611
764,cg02077793,1612
765,cg06003187,1612
766,cg14455487,1614
767,cg01990334,1615
768,cg13199589,1616
769,cg16534233,1617
770,cg06346081,1619
771,cg02092466,1620
772,cg02150709,1621
773,cg00650876,1622
774,cg11172423,1623
775,cg19044674,1626
776,cg27657283,1627
777,cg02101486,1629
778,cg17330200,1630
779,cg01782487,1631
780,cg19101893,1632
781,cg00410895,1633
782,cg10040059,1635
783,cg02110963,1636
784,cg02117021,1640
785,cg20345840,1641
786,cg06792911,1642
787,cg03574115,1644
788,cg02121943,1644
789,cg16725097,1645
790,cg13342625,1646
791,cg04355435,1648
792,cg06948408,1649
793,cg09988116,1650
794,cg19337279,1654
795,cg01651593,1656
796,cg03793131,1657
797,cg16858125,1658
798,cg10548277,1659
799,cg05663262,1660
800,cg16570917,1661
801,cg13233799,1662
802,cg10968649,1668
803,cg09903430,1670
804,cg02361363,1671
805,cg22930187,1675
806,cg06207804,1676
807,cg25047378,1679
808,cg25955969,1682
809,cg12079362,1683
810,cg19903333,1684
811,cg15379237,1685
812,cg04323187,1686
813,cg20975478,1687
814,cg18937321,1689
815,cg08679985,1690
816,cg18202456,1691
817,cg15990015,1694
818,cg23451311,1695
819,cg01267315,1701
820,cg02196655,1704
821,cg02198044,1708
822,cg02200132,1710
823,cg04118154,1712
824,cg02890926,1713
825,cg02210123,1715
826,cg03907454,1716
827,cg06922130,1717
828,cg13044223,1718
829,cg07550267,1719
830,cg02218214,1724
831,cg09799156,1725
832,cg00904574,1727
833,cg27287808,1728
834,cg02227605,1732
835,cg15329642,1737
836,cg02235880,1738
837,cg03229887,1740
838,cg16604218,1742
839,cg22920538,1743
840,cg16613192,1744
841,cg26781150,1746
842,cg10164640,1747
843,cg10797195,1748
844,cg06623268,1749
845,cg09360654,1750
846,cg25827112,1752
847,cg00609097,1753
848,cg21319693,1754
849,cg02631906,1755
850,cg11323731,1758
851,cg12477012,1759
852,cg09893068,1760
853,cg16907488,1761
854,cg02254649,1761
855,cg21942576,1762
856,cg17533684,1763
857,cg15076218,1764
858,cg04975920,1766
859,cg04036898,1768
860,cg17079378,1771
861,cg21576698,1774
862,cg09747578,1775
863,cg26601286,1776
864,cg15305343,1777
865,cg12671744,1778
866,cg09914444,1788
867,cg08032971,1789
868,cg26660631,1792
869,cg19987219,1793
870,cg15445332,1794
871,cg00128877,1795
872,cg03409548,1796
873,cg23786576,1797
874,cg02301754,1798
875,cg06240849,1799
876,cg23440155,1800
877,cg23414387,1801
878,cg16689634,1804
879,cg15187606,1810
880,cg02314308,1812
881,cg00875272,1812
882,cg19797376,1813
883,cg24903376,1814
884,cg06101225,1815
885,cg18885999,1816
886,cg20623943,1817
887,cg18983672,1818
888,cg02320454,1818
889,cg18815943,1820
890,cg14106085,1832
891,cg02344201,1837
892,cg09704415,1843
893,cg04141379,1844
894,cg06744574,1846
895,cg03038003,1847
896,cg02377083,1858
897,cg26227005,1858
898,cg18242139,1859
899,cg01145389,1876
900,cg02404636,1877
901,cg05923103,1879
902,cg24808674,1880
903,cg10089324,1886
904,cg14407667,1887
905,cg16299341,1890
906,cg10482750,1891
907,cg22429822,1892
908,cg12688215,1893
909,cg02441831,1894
910,cg19894943,1894
911,cg04349311,1896
912,cg15683488,1897
913,cg08613513,1899
914,cg02917972,1901
915,cg07347137,1902
916,cg22129364,1905
917,cg16557944,1906
918,cg22284302,1907
919,cg02475653,1908
920,cg14261309,1908
921,cg13461509,1916
922,cg27535305,1918
923,cg16028753,1920
924,cg19196684,1923
925,cg02499249,1924
926,cg01100796,1925
927,cg10321208,1926
928,cg21849289,1928
929,cg11841758,1929
930,cg02502132,1932
931,cg17095731,1934
932,cg02512226,1937
933,cg24845207,1938
934,cg17736259,1939
935,cg06941093,1945
936,cg25637824,1947
937,cg23780947,1948
938,cg23061257,1949
939,cg13262752,1950
940,cg03886898,1951
941,cg19526600,1952
942,cg19400876,1953
943,cg05341670,1955
944,cg10362426,1956
945,cg04853151,1959
946,cg22813220,1960
947,cg01182697,1961
948,cg20793071,1962
949,cg26185508,1966
950,cg02239021,1968
951,cg19019972,1969
952,cg16632891,1979
953,cg10266490,1981
954,cg24051818,1983
955,cg02255609,1986
956,cg10322308,1987
957,cg18014844,1988
958,cg02582754,1990
959,cg24697184,1994
960,cg22130834,1995
961,cg03557698,1996
962,cg10073091,1997
963,cg25536676,1998
964,cg02008416,2000
965,cg25957967,2005
966,cg13191808,2006
967,cg02611282,2015
968,cg06334284,2017
969,cg06836772,2018
970,cg05494069,2019
971,cg16648841,2021
972,cg10620457,2022
973,cg00848728,2023
974,cg06710648,2024
975,cg19840532,2026
976,cg16080552,2031
977,cg27398499,2033
978,cg24946133,2037
979,cg01909487,2038
980,cg17393296,2048
981,cg02643667,2048
982,cg02647265,2051
983,cg03897136,2052
984,cg07248310,2053
985,cg09851465,2054
986,cg02655623,2055
987,cg20289988,2065
988,cg10069638,2066
989,cg10139846,2071
990,cg10316635,2072
991,cg14850026,2074
992,cg00625425,2079
993,cg16235860,2080
994,cg21409833,2082
995,cg02702510,2084
996,cg15462232,2085
997,cg22815110,2086
998,cg02706881,2088
999,cg21877855,2089
1000,cg18464559,2090
1001,cg25013852,2092
1002,cg15364303,2095
1003,cg27303880,2096
1004,cg26317111,2101
1005,cg10753073,2102
1006,cg19304410,2105
1007,cg20876010,2106
1008,cg15997411,2111
1009,cg10482024,2117
1010,cg20802051,2118
1011,cg09082287,2121
1012,cg13446852,2125
1013,cg26832142,2132
1014,cg17819635,2139
1015,cg04979933,2143
1016,cg02775617,2144
1017,cg08983259,2144
1018,cg23744433,2145
1019,cg02776251,2145
1020,cg02780849,2147
1021,cg14206730,2148
1022,cg06894381,2149
1023,cg01356829,2151
1024,cg27416067,2152
1025,cg02786378,2153
1026,cg27462969,2155
1027,cg07000785,2156
1028,cg04718306,2157
1029,cg18795395,2159
1030,cg26764244,2164
1031,cg03641225,2166
1032,cg22901840,2168
1033,cg13697378,2170
1034,cg09118625,2172
1035,cg21808053,2173
1036,cg02317907,2174
1037,cg19114595,2175
1038,cg05392265,2177
1039,cg06191076,2178
1040,cg16148270,2179
1041,cg04447890,2184
1042,cg26555310,2186
1043,cg02831393,2187
1044,cg11724759,2187
1045,cg16598810,2188
1046,cg08413469,2189
1047,cg10576828,2190
1048,cg11201288,2191
1049,cg02809263,2192
1050,cg16666456,2193
1051,cg09735905,2194
1052,cg02841886,2194
1053,cg15128849,2195
1054,cg02917772,2197
1055,cg21452766,2198
1056,cg15201877,2202
1057,cg12739034,2204
1058,cg04645342,2205
1059,cg01425670,2206
1060,cg02860543,2207
1061,cg26752657,2210
1062,cg27336379,2224
1063,cg27478651,2225
1064,cg09458394,2227
1065,cg02882813,2228
1066,cg21438018,2228
1067,cg22035229,2229
1068,cg26363196,2231
1069,cg02885771,2231
1070,cg02888247,2234
1071,cg06201642,2236
1072,cg18299211,2238
1073,cg25604883,2239
1074,cg26466094,2240
1075,cg24762437,2243
1076,cg24947394,2244
1077,cg02905245,2244
1078,cg23855566,2245
1079,cg25470175,2246
1080,cg02906939,2247
1081,cg02910574,2250
1082,cg08707063,2250
1083,cg21968580,2251
1084,cg09107315,2253
1085,cg24496666,2254
1086,cg02915261,2254
1087,cg03495868,2255
1088,cg02917064,2257
1089,cg17980508,2261
1090,cg07107453,2265
1091,cg02932689,2271
1092,cg02936263,2272
1093,cg17870792,2274
1094,cg02936872,2275
1095,cg03098721,2279
1096,cg17237813,2280
1097,cg02941816,2281
1098,cg06628693,2281
1099,cg23698058,2282
1100,cg14378480,2287
1101,cg03622431,2288
1102,cg00810495,2289
1103,cg02949544,2290
1104,cg02955504,2291
1105,cg24995240,2291
1106,cg23441167,2292
1107,cg08380539,2293
1108,cg24686542,2296
1109,cg23142964,2297
1110,cg24574111,2298
1111,cg06501070,2299
1112,cg02972551,2302
1113,cg10515956,2303
1114,cg14254380,2304
1115,cg03848145,2306
1116,cg02975142,2306
1117,cg05654164,2308
1118,cg05475904,2309
1119,cg23665568,2311
1120,cg21589280,2314
1121,cg14322224,2315
1122,cg04453065,2317
1123,cg13693652,2322
1124,cg22181664,2323
1125,cg16116363,2326
1126,cg17455591,2328
1127,cg19976011,2329
1128,cg14540297,2332
1129,cg25428451,2333
1130,cg10042178,2336
1131,cg16228804,2338
1132,cg02558133,2339
1133,cg04270788,2340
1134,cg02705666,2341
1135,cg05946081,2342
1136,cg23540651,2343
1137,cg24959428,2345
1138,cg15422784,2346
1139,cg03016571,2346
1140,cg09099022,2347
1141,cg06641366,2348
1142,cg21401794,2349
1143,cg11208880,2350
1144,cg03029145,2357
1145,cg03032025,2359
1146,cg06384463,2361
1147,cg17241310,2363
1148,cg03863149,2377
1149,cg08552999,2378
1150,cg05027081,2381
1151,cg23845507,2382
1152,cg18127191,2383
1153,cg03070588,2385
1154,cg16382382,2389
1155,cg00563926,2390
1156,cg14732540,2392
1157,cg00307685,2393
1158,cg13984181,2396
1159,cg03082060,2397
1160,cg16725865,2398
1161,cg03098643,2407
1162,cg03100040,2410
1163,cg20125091,2414
1164,cg03102516,2415
1165,cg03109066,2420
1166,cg10989326,2420
1167,cg07054788,2421
1168,cg11189434,2422
1169,cg03112433,2423
1170,cg14474880,2425
1171,cg26054395,2426
1172,cg07387450,2427
1173,cg05684015,2430
1174,cg03117949,2431
1175,cg18060199,2433
1176,cg11208235,2434
1177,cg03127334,2435
1178,cg16833230,2439
1179,cg14860494,2440
1180,cg22663080,2441
1181,cg04592706,2444
1182,cg12869058,2445
1183,cg26229607,2448
1184,cg03147542,2450
1185,cg24215727,2451
1186,cg09869791,2452
1187,cg03148461,2452
1188,cg01185754,2453
1189,cg03149130,2453
1190,cg03460527,2454
1191,cg22424108,2459
1192,cg03159329,2460
1193,cg20059151,2460
1194,cg02718725,2463
1195,cg08721347,2465
1196,cg16540768,2467
1197,cg19514928,2468
1198,cg03163246,2468
1199,cg03166779,2471
1200,cg04185893,2472
1201,cg08462292,2473
1202,cg06347996,2475
1203,cg13482485,2480
1204,cg05596294,2484
1205,cg26164310,2485
1206,cg00729875,2486
1207,cg03190825,2486
1208,cg14453641,2489
1209,cg24794734,2490
1210,cg06426831,2492
1211,cg03201604,2492
1212,cg09338170,2493
1213,cg02161046,2494
1214,cg26091119,2495
1215,cg17398283,2496
1216,cg23106864,2497
1217,cg26117431,2498
1218,cg03214212,2499
1219,cg26339797,2499
1220,cg23062876,2500
1221,cg04743063,2501
1222,cg14766198,2503
1223,cg10298815,2505
1224,cg07739803,2506
1225,cg20401181,2507
1226,cg05612904,2510
1227,cg19038540,2513
1228,cg20166532,2514
1229,cg12884406,2519
1230,cg26256793,2520
1231,cg13908518,2523
1232,cg23707905,2524
1233,cg26145228,2525
1234,cg02361557,2526
1235,cg19918758,2530
1236,cg03264414,2534
1237,cg09214920,2535
1238,cg03266904,2536
1239,cg08460435,2537
1240,cg03271651,2540
1241,cg00328227,2540
1242,cg22949637,2541
1243,cg00712898,2542
1244,cg03301801,2543
1245,cg11481351,2544
1246,cg11666924,2545
1247,cg26357241,2546
1248,cg08253405,2547
1249,cg01969748,2548
1250,cg15991288,2550
1251,cg19695867,2551
1252,cg15753381,2552
1253,cg26045220,2553
1254,cg16797831,2554
1255,cg13619408,2555
1256,cg16345880,2556
1257,cg27014642,2558
1258,cg23706211,2559
1259,cg27339143,2562
1260,cg06752594,2563
1261,cg02175308,2566
1262,cg03302287,2567
1263,cg23637943,2568
1264,cg11286163,2569
1265,cg17034109,2571
1266,cg00630249,2572
1267,cg00521434,2574
1268,cg23749046,2575
1269,cg13878641,2576
1270,cg06956273,2578
1271,cg14254419,2579
1272,cg20885089,2580
1273,cg11903880,2584
1274,cg15955341,2585
1275,cg03070194,2588
1276,cg03332970,2590
1277,cg03336167,2591
1278,cg00515905,2593
1279,cg00491404,2594
1280,cg03343942,2595
1281,cg24326142,2597
